"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4127","User login with correct email and password","LMS system","2026-06-29","passed","2026-06-29","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","2026-06-29","passed","2026-06-29","TestUserAuthentication","test_markers","",""
"","3637","Create course","LMS system","2026-06-29","passed","2026-06-29","Courses","Courses","",""
"","2016","Registration with correct email, username and password","LMS system","2026-06-29","passed","2026-06-29","Registration","Authentication","",""
"","5778","Edit course","LMS system","2026-06-29","passed","2026-06-29","Courses","Courses","",""
"","1681","Check displaying of dashboard page","LMS system","2026-06-29","passed","2026-06-29","Dashboard","Dashboard","",""
"","0","test_password_reset","tests.pytest","2026-06-29","passed","2026-06-29","TestUserAuthentication","test_markers","",""
"","2211","User login with wrong email or password","LMS system","2026-06-29","passed","2026-06-29","Authorization","Authentication","",""
"","1701","Navigation from login page to registration page","LMS system","2026-06-29","passed","2026-06-29","Authorization","Authentication","",""
"","1589","Check displaying of empty courses list","LMS system","2026-06-29","passed","2026-06-29","Courses","Courses","",""
"","0","test_login","tests.pytest","2026-06-29","passed","2026-06-29","TestUserAuthentication","test_markers","",""
"","1575","User login with wrong email or password","LMS system","2026-06-29","passed","2026-06-29","Authorization","Authentication","",""
"","1915","User login with wrong email or password","LMS system","2026-06-29","passed","2026-06-29","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","2026-06-29","passed","2026-06-29","","test_markers","",""
"","0","test_critical_login","tests.pytest","2026-06-29","passed","2026-06-29","","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-06-29","passed","2026-06-29","TestUserInterface","test_markers","",""
