"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Registration with correct email, username and password","LMS system","2026-06-16","broken","2026-06-16","Registration","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-06-16","passed","2026-06-16","TestUserAuthentication","test_markers","",""
"","2931","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","0","Check displaying of empty courses list","LMS system","2026-06-16","broken","2026-06-16","Courses","Courses","",""
"","6668","Edit course","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","4577","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","2893","Registration with correct email, username and password","LMS system","2026-06-16","passed","2026-06-16","Registration","Authentication","",""
"","2322","Check displaying of empty courses list","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","3228","Navigation from login page to registration page","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","0","Navigation from login page to registration page","LMS system","2026-06-16","broken","2026-06-16","Authorization","Authentication","",""
"","6656","User login with correct email and password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","2026-06-16","passed","2026-06-16","TestUserAuthentication","test_markers","",""
"","4080","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","0","User login with correct email and password","LMS system","2026-06-16","broken","2026-06-16","Authorization","Authentication","",""
"","2240","Check displaying of empty courses list","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","6119","Create course","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","6322","User login with correct email and password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-06-16","passed","2026-06-16","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-06-16","passed","2026-06-16","TestUserInterface","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-06-16","passed","2026-06-16","","test_markers","",""
"","2914","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","1","test_critical_login","tests.pytest","2026-06-16","passed","2026-06-16","","test_markers","",""
"","2549","Registration with correct email, username and password","LMS system","2026-06-16","passed","2026-06-16","Registration","Authentication","",""
"","0","Create course","LMS system","2026-06-16","broken","2026-06-16","Courses","Courses","",""
"","2939","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","2026-06-16","broken","2026-06-16","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","2026-06-16","broken","2026-06-16","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","2026-06-16","broken","2026-06-16","Authorization","Authentication","",""
"","2831","Check displaying of dashboard page","LMS system","2026-06-16","passed","2026-06-16","Dashboard","Dashboard","",""
"","0","Check displaying of dashboard page","LMS system","2026-06-16","broken","2026-06-16","Dashboard","Dashboard","",""
"","3247","Check displaying of dashboard page","LMS system","2026-06-16","passed","2026-06-16","Dashboard","Dashboard","",""
"","4721","Create course","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","2622","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","10446","Edit course","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","0","Edit course","LMS system","2026-06-16","broken","2026-06-16","Courses","Courses","",""
"","2298","Navigation from login page to registration page","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
